Title,Rating
Kimi no Suizou wo Tabetai,8.56
Neon Genesis Evangelion: The End of Evangelion,8.55
Ousama Ranking,8.55
Code Geass: Hangyaku no Lelouch,8.70
Mushishi Zoku Shou,8.70
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.70
Odd Taxi,8.69
One Piece,8.69
Great Teacher Onizuka,8.69
Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.68
Made in Abyss: Retsujitsu no Ougonkyou,8.67
Mononoke Hime,8.67
Violet Evergarden,8.67
Hajime no Ippo: New Challenger,8.66
Howl no Ugoku Shiro,8.66
Made in Abyss,8.66
Mushishi,8.66
Shigatsu wa Kimi no Uso,8.65
Natsume Yuujinchou Shi,8.64
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,8.64
Jujutsu Kaisen,8.64
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.64
Haikyuu!! Second Season,8.63
Tengen Toppa Gurren Lagann,8.63
The First Slam Dunk,8.63
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.63
Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.62
Natsume Yuujinchou Roku,8.62
Ping Pong the Animation,8.62
Shingeki no Kyojin Season 3,8.62
Spy x Family,8.62
Death Note,8.62
Cyberpunk: Edgerunners,8.61
Evangelion: 3.0+1.0 Thrice Upon a Time,8.61
Suzumiya Haruhi no Shoushitsu,8.61
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.60
Kimetsu no Yaiba: Katanakaji no Sato-hen,8.59
Mo Dao Zu Shi: Wanjie Pian,8.59
Mushishi Zoku Shou: Suzu no Shizuku,8.59
Chainsaw Man,8.59
Hajime no Ippo: Rising,8.59
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.58
Kizumonogatari II: Nekketsu-hen,8.58
Ookami Kodomo no Ame to Yuki,8.58
Natsume Yuujinchou Go,8.57
Natsume Yuujinchou San,8.57
Shouwa Genroku Rakugo Shinjuu,8.57
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8.57
Yojouhan Shinwa Taikei,8.57
Kenpuu Denki Berserk,8.56
Kimi no Suizou wo Tabetai,8.56
Neon Genesis Evangelion: The End of Evangelion,8.55
Ousama Ranking,8.55
Code Geass: Hangyaku no Lelouch,8.70
Mushishi Zoku Shou,8.70
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.70
Odd Taxi,8.69
One Piece,8.69
Great Teacher Onizuka,8.69
Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.68
Made in Abyss: Retsujitsu no Ougonkyou,8.67
Mononoke Hime,8.67
Violet Evergarden,8.67
Hajime no Ippo: New Challenger,8.66
Howl no Ugoku Shiro,8.66
Made in Abyss,8.66
Mushishi,8.66
Shigatsu wa Kimi no Uso,8.65
Natsume Yuujinchou Shi,8.64
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,8.64
Jujutsu Kaisen,8.64
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.64
Haikyuu!! Second Season,8.63
Tengen Toppa Gurren Lagann,8.63
The First Slam Dunk,8.63
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.63
Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.62
Natsume Yuujinchou Roku,8.62
Ping Pong the Animation,8.62
Shingeki no Kyojin Season 3,8.62
Spy x Family,8.62
Death Note,8.62
Cyberpunk: Edgerunners,8.61
Evangelion: 3.0+1.0 Thrice Upon a Time,8.61
Suzumiya Haruhi no Shoushitsu,8.61
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.60
Kimetsu no Yaiba: Katanakaji no Sato-hen,8.59
Mo Dao Zu Shi: Wanjie Pian,8.59
Mushishi Zoku Shou: Suzu no Shizuku,8.59
Chainsaw Man,8.59
Hajime no Ippo: Rising,8.59
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.58
Kizumonogatari II: Nekketsu-hen,8.58
Ookami Kodomo no Ame to Yuki,8.58
Natsume Yuujinchou Go,8.57
Natsume Yuujinchou San,8.57
Shouwa Genroku Rakugo Shinjuu,8.57
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8.57
Yojouhan Shinwa Taikei,8.57
Kenpuu Denki Berserk,8.56
Kimi no Suizou wo Tabetai,8.56
Neon Genesis Evangelion: The End of Evangelion,8.55
Ousama Ranking,8.55
